KA;http://djvu.szukajwslownikach.uw.edu.pl/linde-t/02/index.djvu?djvuopts&page=289&zoom=width&showposition=0.409,0.588&highlight=177,2577,127,95;Ki Dyabeł, ka bestya.;
'GOLEMY;http://djvu.szukajwslownikach.uw.edu.pl/linde-t/02/index.djvu?djvuopts&page=92&zoom=width&showposition=0.816,0.551&highlight=359,2566,304,84#LindeNowy;;
'KONESSER,;http://djvu.szukajwslownikach.uw.edu.pl/linde-t/02/index.djvu?djvuopts&page=437&zoom=width&showposition=0.195,0.682&highlight=190,1984,460,98#LindeNowy;, y, g 0b. Znawca, poznawacz.;
'KRSZYQ;http://djvu.szukajwslownikach.uw.edu.pl/linde-t/02/index.djvu?djvuopts&page=512&zoom=width&showposition=0.596,0.402&highlight=2490,4216,291,84#LindeNowy;;
'MĘDZEŁAN;http://djvu.szukajwslownikach.uw.edu.pl/linde-t/03/index.djvu?djvuopts&page=68&zoom=width&showposition=0.334,0.569&highlight=359,2778,420,104#LindeNowy;;
'OBYWA-Ć,;http://djvu.szukajwslownikach.uw.edu.pl/linde-t/03/index.djvu?djvuopts&page=428&zoom=width&showposition=0.791,0.687&highlight=2445,4026,367,107#LindeNowy;;
*GROW;http://djvu.szukajwslownikach.uw.edu.pl/linde-t/02/index.djvu?djvuopts&page=136&zoom=width&showposition=0.106,0.330&highlight=356,4229,245,87#LindeNowy;"gier, genźt. plur. nom; Gra.";
*KENTOPOBY;http://djvu.szukajwslownikach.uw.edu.pl/linde-t/02/index.djvu?djvuopts&page=351&zoom=width&showposition=0.529,0.139&highlight=2278,5439,465,87#LindeNowy;quatuor tempora ob. Such-9dni, kWatembra.;
*KROWOPUSK;http://djvu.szukajwslownikach.uw.edu.pl/linde-t/02/index.djvu?djvuopts&page=512&zoom=width&showposition=0.596,0.402&highlight=2493,4572,478,81#LindeNowy;;
*Póizegarze;http://djvu.szukajwslownikach.uw.edu.pl/linde-t/06/index.djvu?djvuopts&page=1008&zoom=width&showposition=0.352,0.855&highlight=618,3467,377,74#LindeNowy;;
*ŁYSTCIANKL;http://djvu.szukajwslownikach.uw.edu.pl/linde-t/02/index.djvu?djvuopts&page=693&zoom=width&showposition=0.613,0.617&highlight=2588,2479,473,100#LindeNowy;bez przykopycia.;
2 GAS;http://djvu.szukajwslownikach.uw.edu.pl/linde-t/02/index.djvu?djvuopts&page=35&zoom=width&showposition=0.079,0.574&highlight=193,2675,258,100#LindeNowy;uderzenie na kogo w pociemku.;
2 GAWĘDA;http://djvu.szukajwslownikach.uw.edu.pl/linde-t/02/index.djvu?djvuopts&page=37&zoom=width&showposition=0.555,0.315&highlight=2352,4335,470,77#LindeNowy;członki wstydliwe chore.;
2. HAJA;http://djvu.szukajwslownikach.uw.edu.pl/linde-t/02/index.djvu?djvuopts&page=171&zoom=width&showposition=0.088,0.857&highlight=220,870,313,84#LindeNowy;Rodzaj trzeci gadu pływającego;
ARAUZYA;http://korpusy.klf.uw.edu.pl/djvus/linde-t/01/index.djvu?djvuopts&page=155&highlight=190,3683,364,92;;※ Orania!
Adelung;http://djvu.szukajwslownikach.uw.edu.pl/linde-t/01/index.djvu?djvuopts&page=709&zoom=width&showposition=0.712,0.171&highlight=3232,5277,267,84#LindeNowy;https://www.hs-augsburg.de/~harsch/germanica/Chronologie/18Jh/Adelung/ade_lex0.html http://ds.ub.uni-bielefeld.de/viewer/toc/1873343/0/;
FLEJTUGH;http://djvu.szukajwslownikach.uw.edu.pl/linde-t/01/index.djvu?djvuopts&page=788&zoom=width&showposition=0.686,0.086&highlight=2462,3747,357,89#LindeNowy;Flejtuch, jest u barwierzów, mech chuściany, owo co;
Flegetonta;http://djvu.szukajwslownikach.uw.edu.pl/linde-t/06/index.djvu?djvuopts&page=329&zoom=width&showposition=0.737,0.313&highlight=3343,4332,348,79#LindeNowy;Flegeton? w mitologii greckiej bóg i uosobienie rzeki Ognia w Podziemiu;
GIEFREJTER;http://djvu.szukajwslownikach.uw.edu.pl/linde-t/02/index.djvu?djvuopts&page=49&zoom=width&showposition=0.531,0.263&highlight=2305,4643,452,100#LindeNowy;żołnierz wartę zaprowadzający,;
GOFRY,;http://djvu.szukajwslownikach.uw.edu.pl/linde-t/02/index.djvu?djvuopts&page=90&zoom=width&showposition=0.103,0.670&highlight=370,2058,253,95#LindeNowy;gatunek ciasta kratkowego (cf. androty),;
Garby, zmarszczki,;http://djvu.szukajwslownikach.uw.edu.pl/linde-t/02/index.djvu?djvuopts&page=28&zoom=width&showposition=0.225,0.836&highlight=965,1000,623,93#LindeNowy;;
Golka, gułka;http://djvu.szukajwslownikach.uw.edu.pl/linde-t/02/index.djvu?djvuopts&page=93&zoom=width&showposition=0.786,0.329&highlight=3926,4319,454,90#LindeNowy;nota cała', ma w 'sobie Ogonatek dwie.;
