Number,Left context,Match,Match2,Right context,Link,Query
2,". cp manducavit; Chald. ,","Syr.,",,"Samar., Arab.","http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=1152&zoom=width&showposition=0.413,0.200&highlight=967,2541,35,32#Linde",Syr '[.]' '[^[:digit:]].*'
3,"granica, miofnik kopiec; drągiem.","Syr. ,",,"cf. mątew, citt","http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=1611&zoom=width&showposition=0.146,0.754&highlight=330,772,35,29#Linde",Syr '[.]' '[^[:digit:]].*'
4,MOKpuii; Eccl. MOKpeHHUH; (,"Syr.,",,Arab. iprs aquam terrae,"http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=1675&zoom=width&showposition=0.334,0.464&highlight=779,1700,35,33#Linde",Syr '[.]' '[^[:digit:]].*'
5,"cf. £mnb, cf.",Syr. ;,,w). §•,"http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=914&zoom=width&showposition=0.847,0.608&highlight=2002,1239,38,32#Linde",Syr '[.]' '[^[:digit:]].*'
10,któreśmy wykładając wyrazić chcieli. Radz.,Syr. ",,Wyprawienie miejsc trudniejszych* napis,"http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=4240&zoom=width&showposition=0.107,0.386&highlight=235,1945,39,33#Linde",Syr '[.]' '[^[:digit:]].*'
11,"ńca, m., ŻYL1NIEC (",Syr.),,"polerium, rodzaj ro-","http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=4887&zoom=width&showposition=0.304,0.402&highlight=712,1893,34,30#Linde",Syr '[.]' '[^[:digit:]].*'
13,"rozpędza , i do wyszumiałości pomaga.",Syr. —,,§-2) Wyszumować,"http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=4299&zoom=width&showposition=0.518,0.266&highlight=1216,2335,39,33#Linde",Syr '[.]' '[^[:digit:]].*'
15,. ijSape; Angl. pope;,Syr. abba,,", pater; Germ.","http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=2502&zoom=width&showposition=0.596,0.220&highlight=1407,2481,39,32#Linde",Syr '[.]' '[^[:digit:]].*'
16,", anyżkowy miód, anyżkowa wódka.",Syr. ANZEATYCKI,,", a, ie.","http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=154&zoom=width&showposition=0.422,0.288&highlight=989,2267,38,32#Linde",Syr '[.]' '[^[:digit:]].*'
17,"(cf. Arab. bend,",Syr. bando,,); Yind. banda,"http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=183&zoom=width&showposition=0.696,0.305&highlight=1650,2220,38,32#Linde",Syr '[.]' '[^[:digit:]].*'
18,. Półgłowne- mu bolu lekarstwo.,Syr. Beg,,". , ob. Migrena","http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=2468&zoom=width&showposition=0.251,0.330&highlight=585,2134,35,29#Linde",Syr '[.]' '[^[:digit:]].*'
19,"consulida, sulida- go Saracenica.",Syr. BEIBNIFD,,) SBiinrfrnut; Slav.,"http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=4761&zoom=width&showposition=0.635,0.469&highlight=1504,1684,32,28#Linde",Syr '[.]' '[^[:digit:]].*'
20,114 . Wąsat w krzyżach łupa.,Syr. Bej,,". Wąsat, choroba koń","http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=3902&zoom=width&showposition=0.287,0.800&highlight=663,620,38,32#Linde",Syr '[.]' '[^[:digit:]].*'
21,. "p. Wino włóczkowate.,Syr. Bej,,. wlekące się. włóczką,"http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=4029&zoom=width&showposition=0.654,0.169&highlight=1531,2638,35,29#Linde",Syr '[.]' '[^[:digit:]].*'
22,"- cińskiej od moczu, lekarstwo.",Syr. Bej,,". WYPRZAŁY, ob.","http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=4246&zoom=width&showposition=0.333,0.717&highlight=772,885,39,33#Linde",Syr '[.]' '[^[:digit:]].*'
23,; aroóoóoraTBbift wielce bogaty; cf.,Syr. benignus,,fuit; cf. Germ,"http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=1495&zoom=width&showposition=0.098,0.630&highlight=218,1176,35,29#Linde",Syr '[.]' '[^[:digit:]].*'
24,", Jaufenbgulbenlraut«. Wódka centurzyowa.",Syr. CEP,,", a, m.","http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=360&zoom=width&showposition=0.941,0.135&highlight=2220,2765,35,29#Linde",Syr '[.]' '[^[:digit:]].*'
25,", Eccl. CKopósio, 6oM3Hyio;",Syr. Chald,,". Talmud. ,TD","http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=391&zoom=width&showposition=0.456,0.613&highlight=1074,1226,35,29#Linde",Syr '[.]' '[^[:digit:]].*'
26,"od ciemierzycznika, ©rofSfefamfratttó<.",Syr. CIEMIĘŻCA,,", y, m.","http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=430&zoom=width&showposition=0.114,0.334&highlight=253,2114,38,32#Linde",Syr '[.]' '[^[:digit:]].*'
27,"Jana, herba s. Jnannis.",Syr. Cn,,. Th. 1456;,"http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=4866&zoom=width&showposition=0.413,0.390&highlight=981,1933,35,29#Linde",Syr '[.]' '[^[:digit:]].*'
28,", biała bezkrewna, *nerwa.",Syr. Cn,,. Th. 1461.,"http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=4886&zoom=width&showposition=0.108,0.443&highlight=242,1760,38,32#Linde",Syr '[.]' '[^[:digit:]].*'
29,pugnus; Hebr. BU verrit;,Syr. cumu,,- latim abstulit);,"http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=936&zoom=width&showposition=0.873,0.429&highlight=2064,1810,36,29#Linde",Syr '[.]' '[^[:digit:]].*'
30,", cf. iglica, grzebienica.",Syr. CZECZOTKA,,", i, z.","http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=492&zoom=width&showposition=0.404,0.645&highlight=944,1116,38,32#Linde",Syr '[.]' '[^[:digit:]].*'
31,"ny- cnato, (cf.",Syr. DDD,,permissum etl); g,"http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=2888&zoom=width&showposition=0.181,0.452&highlight=420,1749,39,33#Linde",Syr '[.]' '[^[:digit:]].*'
32,". Arab. ppD, aperuit;",Syr. divisit,,; Sorab. 2.,"http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=2236&zoom=width&showposition=0.769,0.765&highlight=1833,738,35,29#Linde",Syr '[.]' '[^[:digit:]].*'
34,"- już przewrzała, żywot zatwierdza.",Syr. dlii,,". PRZEWYBORNOŚĆ, ści,","http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=2775&zoom=width&showposition=0.471,0.853&highlight=1113,460,35,29#Linde",Syr '[.]' '[^[:digit:]].*'
35,Graec. a!!-;,Syr. et,,Chald. gizza- ca,"http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=1294&zoom=width&showposition=0.303,0.733&highlight=707,839,39,33#Linde",Syr '[.]' '[^[:digit:]].*'
36,"sarran ; cf. Chald.,",Syr. et,,"Arab lin chasar, albescere","http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=3463&zoom=width&showposition=0.648,0.776&highlight=1524,701,40,32#Linde",Syr '[.]' '[^[:digit:]].*'
37,". Chald., Samar.,",Syr. et,,"Arab. un tagar,","http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=3560&zoom=width&showposition=0.878,0.771&highlight=2074,714,40,33#Linde",Syr '[.]' '[^[:digit:]].*'
38,est; UD© sakah prospexit;,Syr. exspectavit,,; Chald. JOD),"http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=492&zoom=width&showposition=0.898,0.391&highlight=2124,1929,38,32#Linde",Syr '[.]' '[^[:digit:]].*'
40,"inj> paratusfuit; Chald.,Syr. Hebr,,. "pni? promptus,"http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=932&zoom=width&showposition=0.493,0.839&highlight=1157,497,38,32#Linde",Syr '[.]' '[^[:digit:]].*'
41,od dołu do kolanka albo sączka.,Syr. Hej,,. Zbo- ża niektóre,"http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=3111&zoom=width&showposition=0.374,0.490&highlight=879,1615,32,28#Linde",Syr '[.]' '[^[:digit:]].*'
42,IJBCTBHJO organum sentiendi; Chald. et,Syr. ITJt,,"tsuth • auscultare, attendere","http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=517&zoom=width&showposition=0.548,0.686&highlight=1287,993,46,33#Linde",Syr '[.]' '[^[:digit:]].*'
43,; Graec. devai; rigalio;,Syr. J,,<"2? effudit,"http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=560&zoom=width&showposition=0.300,0.403&highlight=694,1892,45,32#Linde",Syr '[.]' '[^[:digit:]].*'
44,"zilęco, ręiflm ; Chald. et",Syr. jnn,,"tera, diruit, 1HD","http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=3633&zoom=width&showposition=0.089,0.677&highlight=192,1018,39,33#Linde",Syr '[.]' '[^[:digit:]].*'
45,; ( cf. Chald. et,Syr. Jsp,,"!p*),"http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=3326&zoom=width&showposition=0.185,0.857&highlight=424,440,39,33#Linde",Syr '[.]' '[^[:digit:]].*'
46,IIojbCKaro 3Ha- mirb coBtrb. (,Syr. Km,,admonuit; Arab. corroboravit,"http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=2926&zoom=width&showposition=0.659,0.622&highlight=1580,1201,38,33#Linde",Syr '[.]' '[^[:digit:]].*'
47,"się, pa4tirie staranność; cf.",Syr. Km,,"admo- nuit, cf","http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=2929&zoom=width&showposition=0.803,0.132&highlight=1904,2767,39,31#Linde",Syr '[.]' '[^[:digit:]].*'
