agio;http://poliqarp.wbl.klf.uw.edu.pl/extra/linde/index.djvu?djvuopts&page=139&zoom=width&showposition=0.069,0.757&highlight=114,747,123,62,ffff00#Linde ;z Włosk.;※ AGIO
agresta;http://poliqarp.wbl.klf.uw.edu.pl/extra/linde/index.djvu?djvuopts&page=139&zoom=width&showposition=0.620,0.690&highlight=1987,1133,150,60,ffff00#Linde ;Ital.;※ AGREST
ballo;http://poliqarp.wbl.klf.uw.edu.pl/extra/linde/index.djvu?djvuopts&page=179&zoom=width&showposition=0.198,0.581&highlight=514,1330,90,39#Linde ;Ital.;※ BAL
bancorotto;http://poliqarp.wbl.klf.uw.edu.pl/extra/linde/index.djvu?djvuopts&page=187&zoom=width&showposition=0.303,0.128&highlight=632,2771,195,39,ffff00#Linde ;z Włosk.;※ BANKRUT
banda;http://poliqarp.wbl.klf.uw.edu.pl/extra/linde/index.djvu?djvuopts&page=183&zoom=width&showposition=0.257,0.182&highlight=1903,2295,117,54,ffff00#Linde ;Ital.;※ BANDA
bandiera;http://poliqarp.wbl.klf.uw.edu.pl/extra/linde/index.djvu?djvuopts&page=183&zoom=width&showposition=0.533,0.467&highlight=1211,1702,133,30 ;Ital.;※ BANDERA
barile;http://poliqarp.wbl.klf.uw.edu.pl/extra/linde/index.djvu?djvuopts&page=193&zoom=width&showposition=0.751,0.212&highlight=1727,2099,101,48,ffff00#Linde ;Ital.;※ BARYŁA, BARYŁKA
barrella;http://poliqarp.wbl.klf.uw.edu.pl/extra/linde/index.djvu?djvuopts&page=193&zoom=width&showposition=0.751,0.212&highlight=1727,2099,101,48,ffff00#Linde ;Ital.;※ BARYŁA, BARYŁKA
bastia;http://poliqarp.wbl.klf.uw.edu.pl/extra/linde/index.djvu?djvuopts&page=195&zoom=width&showposition=0.127,0.570&highlight=2107,1955,120,66,ffff00#Linde ;Ital.;※ BASZTA
batello;http://poliqarp.wbl.klf.uw.edu.pl/extra/linde/index.djvu?djvuopts&page=195&zoom=width&showposition=0.529,0.652&highlight=1217,993,120,66,ffff00#Linde ;Ital.;※ BAT, BATA, BACIK
bebero;http://poliqarp.wbl.klf.uw.edu.pl/extra/linde/index.djvu?djvuopts&page=264&zoom=width&showposition=0.266,0.850&highlight=585,467,273,30 ;Ital.;※ BÓBR
bevero;http://poliqarp.wbl.klf.uw.edu.pl/extra/linde/index.djvu?djvuopts&page=264&zoom=width&showposition=0.266,0.850&highlight=585,467,273,30 ;Ital.;※ BÓBR
bombasina;http://poliqarp.wbl.klf.uw.edu.pl/extra/linde/index.djvu?djvuopts&page=278&zoom=width&showposition=0.756,0.744&highlight=1715,789,200,57,ffff00#Linde ;z Włosk.;※ BOMZYN
bottega;http://poliqarp.wbl.klf.uw.edu.pl/extra/linde/index.djvu?djvuopts&page=335&zoom=width&showposition=0.750,0.212&highlight=1730,2508,152,51,ffff00#Linde ;Ital.;※ BUTYKA
brusco;http://poliqarp.wbl.klf.uw.edu.pl/extra/linde/index.djvu?djvuopts&page=319&zoom=width&showposition=0.370,0.780&highlight=933,676,114,39#Linde ;Ital.;※ BRZYDKI, BRZYDLIWY, BRZYDNY
buffalo;http://poliqarp.wbl.klf.uw.edu.pl/extra/linde/index.djvu?djvuopts&page=197&zoom=width&showposition=0.698,0.542&highlight=1609,1456,111,30 ;Ital.;※ BAWÓŁ, BUJWOŁ
carta bianca;http://poliqarp.wbl.klf.uw.edu.pl/extra/linde/index.djvu?djvuopts&page=248&zoom=width&showposition=0.568,0.265&highlight=2216,2387,87,26,ffff00#Linde ;Ital.;※ BLANKIET BLANKIECIK
cedula;http://poliqarp.wbl.klf.uw.edu.pl/extra/linde/index.djvu?djvuopts&page=354&zoom=width&showposition=0.811,0.858&highlight=1995,436,108,44,ffff00#Linde ;Ital.;※ CEDUŁA
ceppo;http://poliqarp.wbl.klf.uw.edu.pl/extra/linde/index.djvu?djvuopts&page=360&zoom=width&showposition=0.675,0.255&highlight=1676,2371,94,47#Linde ;Ital.;※ CEP
ciccia;http://poliqarp.wbl.klf.uw.edu.pl/extra/linde/index.djvu?djvuopts&page=468&zoom=width&showposition=0.818,0.212&highlight=2171,1742,120,48,ffff00#Linde ;Ital.;※ CYC, CYCE
ciffra;http://poliqarp.wbl.klf.uw.edu.pl/extra/linde/index.djvu?djvuopts&page=469&zoom=width&showposition=0.672,0.646&highlight=1056,2057,105,48,ffff00#Linde ;z Włosk.;※ CYFRA, CYFRKA
