Laba;http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=1396&zoom=width&showposition=0.535,0.718&highlight=190,900,99,41;::009-1-12-0-0 __ _ ___::;※ c:rzeka
Naba;http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=1721&zoom=width&showposition=0.535,0.634&highlight=1168,1168,96,50;::009-1-14-0-0 __ _ ___::;※ c:rzeka
Raba;http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=2921&zoom=width&showposition=0.535,0.503&highlight=115,1587,100,46;::009-1-15-0-0 __ _ ___::;※ c:rzeka
Kuszaba;http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=1384&zoom=width&showposition=0.535,0.140&highlight=617,2746,170,46;::009-1-25-0-0 __ _ ___::;※ h:herb
Zaręba;http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=4549&zoom=width&showposition=0.535,0.873&highlight=1264,2655,166,40;::009-1-44-0-0 __ _ ___::;※ h
Elba;http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=1396&zoom=width&showposition=0.325,0.713&highlight=734,881,84,57#Linde;::009-2-05-0-0 __ _ ___::;※ c:rzeka
Zagłoba;http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=4435&zoom=width&showposition=0.535,0.136&highlight=1084,2759,54,46;::009-2-25-0-0 __ _ ___::;※ h:herb
Zagroba;http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=4435&zoom=width&showposition=0.180,0.089&highlight=373,2720,155,48#Linde;::009-2-33-0-0 __ _ ___::;※ h:herb
Kuba;http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=1362&zoom=width&showposition=0.535,0.208&highlight=215,2529,104,46;::009-3-16-0-0 __ _ ___::;※ a:imię
Drwęca;http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=0676&zoom=width&showposition=0.535,0.502&highlight=186,1589,162,46;::010-2-32-0-0 __ _ ___::;※ t:rzeka
Dębica;http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=552&zoom=width&showposition=0.535,0.164&highlight=1160,2539,74,46;::010-2-36-0-0 __ _ ___::;※ t:miasto
Pilica;http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=2286&zoom=width&showposition=0.535,0.832&highlight=1214,536,119,42;::010-4-01-0-0 __ _ ___::;※ t:
Wolica;http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=4055&zoom=width&showposition=0.535,0.740&highlight=1166,830,151,42;::010-4-06-0-0 __ _ ___::;※ t
Trzebnica;http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=3633&zoom=width&showposition=0.535,0.233&highlight=104,2451,196,45;::011-1-27-0-0 __ _ ___::;※ t:miasto
Świdnica;http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=3426&zoom=width&showposition=0.535,0.855&highlight=901,461,177,41;::011-2-11-0-0 __ _ ___::;※ t:miasto
Szwidnica;http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=3533&zoom=width&showposition=0.535,0.359&highlight=2069,2047,88,37;!::011-2-12-0-0-s_ _ ___::;※ 
Brodnica;http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=0303&zoom=width&showposition=0.535,0.243&highlight=1156,2417,188,46;::011-2-18-0-0 __ _ ___::;※ t:miasto
Rudnica;http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=3068&zoom=width&showposition=0.535,0.255&highlight=1794,2380,152,37;::011-2-30-0-0 __ _ ___::;※ h:herb
Opalenica;http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=2079&zoom=width&showposition=0.535,0.802&highlight=1181,630,206,50;::011-3-12-0-0 __ _ ___::;※ t:miasto
Legnica;http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=1435&zoom=width&showposition=0.535,0.649&highlight=1135,1119,158,45;::011-3-34-0-0 __ _ ___::;※ t:miasto
Lignica;http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=1435&zoom=width&showposition=0.535,0.649&highlight=1438,1119,149,45;!::011-3-35-0-0-s_ _ ___::;※ t:miasto
Mogilnica;http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=1673&zoom=width&showposition=0.723,0.823&highlight=1688,642,225,51#Linde;::011-4-49-0-0 __ _ ___::;※ t:miasto
sokolnica;http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=3273&zoom=width&showposition=0.535,0.533&highlight=238,1491,205,54;::012-1-01-0-0 __ _ ___:: błąd indeksu;※ działo
Lipnica;http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=1466&zoom=width&showposition=0.535,0.664&highlight=991,1073,140,42;::012-2-34-0-0 __ _ ___::;※ t:miasto
Oleśnica;http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=2068&zoom=width&showposition=0.672,0.083&highlight=1403,2724,212,66#Linde;::012-3-33-0-0 __ _ ___::;※ t:miasto, c:
Morawica;http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=1679&zoom=width&showposition=0.535,0.534&highlight=921,1489,208,50;::014-1-17-0-0 __ _ ___::;※ t:miasto
żydowica;http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=4884&zoom=width&showposition=0.535,0.346&highlight=1725,2090,196,42;::014-1-44-0-0 __ _ ___:: w indeksie kaszta współczesna?;※ e
Targowica;http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=3561&zoom=width&showposition=0.535,0.595&highlight=120,1294,216,41;::014-1-45-0-0 __ _ ___::;※ t:miasto
Markowica;http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=1567&zoom=width&showposition=0.242,0.347&highlight=1057,2475,111,66#Linde;::014-1-47-0-0 __ _ ___::;※ t:miasto
Tarnowica;http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=3563&zoom=width&showposition=0.364,0.696&highlight=767,915,216,54#Linde;::014-1-51-0-0 __ _ ___::;※ t:miasto
Dąbrowica;http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=0533&zoom=width&showposition=0.535,0.595&highlight=1711,1294,225,37;::014-2-02-0-0 __ _ ___::;※ t:miasto
Dubrowica;http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=0533&zoom=width&showposition=0.535,0.595&highlight=1970,1294,221,37;!::014-2-03-0-0-s_ _ ___::;※ t:miasto
Kruświca;http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=1334&zoom=width&showposition=0.535,0.467&highlight=203,1702,195,46;::014-2-10-0-0 __ _ ___::;※ t:miasto
Kruszwica;http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=1334&zoom=width&showposition=0.535,0.543&highlight=1494,1460,208,46;!::014-2-11-0-0-s_ _ ___::;※ t:miasto
Bogarodzica;http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=0270&zoom=width&showposition=0.535,0.546&highlight=1289,1448,257,46;::014-2-19-0-0 __ _ ___::;※ a
Słupca;http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=3240&zoom=width&showposition=0.535,0.866&highlight=634,428,141,49;::015-2-05-0-0 __ _ ___::;※ t:miasto
Petyhorca;http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=2246&zoom=width&showposition=0.535,0.592&highlight=181,1302,210,42;::015-3-20-0-0 __ _ ___::;※ e
Pietyhorca;http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=2246&zoom=width&showposition=0.535,0.592&highlight=428,1302,218,42;!::015-3-21-0-0-s_ _ ___::;※ e
Złotonośca;http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=4767&zoom=width&showposition=0.762,0.423&highlight=2132,1823,123,93#Linde;::015-4-17-0-0 __ _ ___::;※ t:miasto
Orczyca;http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=2100&zoom=width&showposition=0.237,0.674&highlight=180,1008,189,75#Linde;::016-4-07-0-0 __ _ ___::;※ t
Bystrzyca;http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=343&zoom=width&showposition=0.535,0.371&highlight=1591,1916,174,42;::016-4-48-0-0 __ _ ___::;※ c:rzeka
Orszyca;http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=2104&zoom=width&showposition=0.535,0.409&highlight=1212,1887,167,50;::017-1-06-0-0 __ _ ___::;※ t:rzeka
najada;http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=1760&zoom=width&showposition=0.535,0.431&highlight=675,1818,144,42;::017-4-04-0-0 __ _ ___:: błąd indeksu;※ ?
Łada;http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=1402&zoom=width&showposition=0.535,0.546&highlight=190,1448,99,45;::017-4-23-0-0 __ _ ___::;※ h
Kanada;http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=1125&zoom=width&showposition=0.535,0.269&highlight=1152,2335,149,46;::017-4-30-0-0 __ _ ___::;※ c:kraj
Owada;http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=2152&zoom=width&showposition=0.535,0.600&highlight=195,1276,135,42;::018-1-22-0-0 __ _ ___::;※ h:herb
Magda;http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=1543&zoom=width&showposition=0.535,0.173&highlight=1175,2643,123,42;::018-1-51-0-0 __ _ ___::;※ a:imię
Eneida;http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=0762&zoom=width&showposition=0.535,0.423&highlight=1220,1843,141,46;::018-2-03-0-0 __ _ ___::;※ i
Nida;http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=1839&zoom=width&showposition=0.535,0.365&highlight=120,2027,91,46;::018-2-06-0-0 __ _ ___::;※ c:rzeka
Skalda;http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=3182&zoom=width&showposition=0.535,0.812&highlight=2203,550,107,42;::018-2-20-0-0 __ _ ___::;※ t:rzeka
Olabanda;_;::018-2-27-0-0 __ _ ___:: błąd indeksu?;※ nieznalezione (Alabanda?)
Wanda;http://djvu.szukajwslownikach.uw.edu.pl/linde-t/06/index.djvu?djvuopts&page=216&zoom=width&showposition=0.541,0.788&highlight=2429,1294,302,101;::018-2-32-0-0 __ _ ___::;※ a:imię
Wenda;http://djvu.szukajwslownikach.uw.edu.pl/linde-t/06/index.djvu?djvuopts&page=216&zoom=width&showposition=0.541,0.788&highlight=2802,1294,321,98;!::018-2-33-0-0-s_ _ ___::;※ a:imię
Linda;http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=1464&zoom=width&showposition=0.535,0.815&highlight=198,590,103,41;::018-3-04-0-0 __ _ ___::;※ h:herb
Konda;http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=1371&zoom=width&showposition=0.535,0.182&highlight=1431,2613,134,42;::018-3-09-0-0 __ _ ___::;※ a:imię
Kunegunda;http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=1371&zoom=width&showposition=0.535,0.182&highlight=1160,2613,229,42;::018-3-10-0-0 __ _ ___::;※ a:imię
Łagoda;http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=1405&zoom=width&showposition=0.535,0.602&highlight=1139,1272,150,42;::018-3-22-0-0 __ _ ___::;※ h
Nagoda;http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=1756&zoom=width&showposition=0.535,0.219&highlight=708,2363,165,40;::018-3-24-0-0 __ _ ___::;※ h:herb
Niezgoda;http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=1865&zoom=width&showposition=0.535,0.147&highlight=1724,2725,197,46;::018-3-37-0-0 __ _ ___::;※ h:herb
Nieszczerda;http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=1859&zoom=width&showposition=0.104,0.513&highlight=144,1578,255,54#Linde;::019-1-01-0-0 __ _ ___::;※ t:miasto
Buda;http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=0322&zoom=width&showposition=0.535,0.605&highlight=256,1262,95,46;::019-1-15-0-0 __ _ ___::;※ t:miasto
Juda;http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=1101&zoom=width&showposition=0.535,0.585&highlight=141,1325,91,46;::019-1-18-0-0 __ _ ___::;※ a:imię
Gertruda;http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=0864&zoom=width&showposition=0.535,0.122&highlight=183,2804,195,46;::019-1-31-0-0 __ _ ___::;※ a:imię
Kandyda;http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=1127&zoom=width&showposition=0.535,0.189&highlight=1154,2589,178,41;::019-1-37-0-0 __ _ ___::;※ a:imię
Bałtyda;http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=0181&zoom=width&showposition=0.535,0.327&highlight=1162,2150,166,45;::019-1-43-0-0 __ _ ___::;※ t:morze
Bazylea;http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=0198&zoom=width&showposition=0.535,0.177&highlight=1226,2630,170,45;::019-2-07-0-0 __ _ ___::;※ t:miasto
Salomea;http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=3118&zoom=width&showposition=0.535,0.838&highlight=1251,515,168,46;::019-2-08-0-0 __ _ ___::;※ a:imię
Jaga;http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=1050&zoom=width&showposition=0.535,0.244&highlight=185,2414,91,46;::019-2-48-0-0 __ _ ___::;※ a:imię
Praga;http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=2618&zoom=width&showposition=0.535,0.406&highlight=1224,1896,120,46;::019-3-08-0-0 __ _ ___::;※ t:miasto
Onega;http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=2077&zoom=width&showposition=0.585,0.289&highlight=1494,2301,146,39#Linde;::019-3-47-0-0 __ _ ___::;※ t
Kołobrzega;http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=1234&zoom=width&showposition=0.535,0.703&highlight=1789,947,253,46;::019-3-49-0-0 __ _ ___::;※ t:miasto
Dołęga;http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=0607&zoom=width&showposition=0.535,0.878&highlight=1156,387,146,41;::019-4-16-0-0 __ _ ___::;※ h
Karęga;http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=1143&zoom=width&showposition=0.535,0.791&highlight=1150,665,141,46;::019-4-19-0-0 __ _ ___::;※ h
Adiga;http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=0137&zoom=width&showposition=0.073,0.376&highlight=113,1968,134,75#Linde;::019-4-35-0-0 __ _ ___::;※ t:rzeka
Szeliga;http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=3485&zoom=width&showposition=0.535,0.555&highlight=79,1420,138,42;::019-4-42-0-0 __ _ ___::;※ h:herb
Jadwiga;http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=1050&zoom=width&showposition=0.535,0.148&highlight=190,2722,165,41;::019-4-47-0-0 __ _ ___::;※ a:imię
Adwiga;http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=0138&zoom=width&showposition=0.535,0.311&highlight=199,2201,145,46;!::019-4-48-0-0-s_ _ ___::;※ a:imię
Wołga;http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=4055&zoom=width&showposition=0.535,0.453&highlight=1166,1748,138,41;::020-1-07-0-0 __ _ ___::;※ t:rzeka
Wołha;http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=4055&zoom=width&showposition=0.535,0.453&highlight=1467,1748,138,41;!::020-1-08-0-0-s_ _ ___::;※ t:rzeka
Kinga;http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=1182&zoom=width&showposition=0.535,0.481&highlight=182,1658,107,46;::020-1-11-0-0 __ _ ___::;※ a:imię
Połonga;http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=2474&zoom=width&showposition=0.535,0.664&highlight=1212,1072,173,45;::020-1-14-0-0 __ _ ___::;※ t:miasto
Nerunga;http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=1835&zoom=width&showposition=0.535,0.611&highlight=1150,1243,178,42;::020-1-15-0-0 __ _ ___::;※ t
Mroga;http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=1693&zoom=width&showposition=0.535,0.188&highlight=1160,2594,132,45;::020-1-51-0-0 __ _ ___::;※ c:rzeka
Norymberga;http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=1875&zoom=width&showposition=0.535,0.137&highlight=1154,2757,248,42;::020-2-24-0-0 __ _ ___::;※ t:miasto
Nurymberga;http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=1875&zoom=width&showposition=0.535,0.137&highlight=1444,2757,252,42;!::020-2-25-0-0-s_ _ ___::;※ t:miasto
Jurga;http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=1103&zoom=width&showposition=0.535,0.122&highlight=1210,2805,120,46;::020-2-28-0-0 __ _ ___::;※ a:imię
Kaługa;http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=1120&zoom=width&showposition=0.535,0.839&highlight=749,2028,120,37;::020-2-44-0-0 __ _ ___::;※ t
Bruga;http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=0308&zoom=width&showposition=0.535,0.569&highlight=194,1375,129,42;::020-3-09-0-0 __ _ ___::;※ t:miasto
Ryga;http://korpusy.klf.uw.edu.pl/djvus/linde/index.djvu?djvuopts&page=3083&zoom=width&showposition=0.535,0.586&highlight=978,671,117,46;::020-3-24-0-0 __ _ ___::;※ t:miasto
