Nag.;http://wbl.klf.uw.edu.pl/23/24/SH-FP_Linde_FR11.djvu?djvuopts=&page=144&zoom=width&showposition=0.5,0.36&highlight=950, 2920, 2350,  350; http://polona.pl/item/1092466/3/; ※ mowy Cycerona. 8.
Ostror.;http://wbl.klf.uw.edu.pl/23/24/SH-FP_Linde_FR11.djvu?djvuopts=&page=156&zoom=page&showposition=0.49,0.49&highlight=900,1070,2400,250;http://delta.cbr.edu.pl/dlibra/doccontent?id=759; ※ myślistwo z ogary, p. Jana Ostroroga 1618. 4.
Sap.;http://wbl.klf.uw.edu.pl/23/24/SH-FP_Linde_FR11.djvu?djvuopts=&page=182&zoom=width&showposition=0.5,0.34&djvuopts=&highlight=960,3065,2398,368;; ※ Xcia Sapiehy historya rewolucyi Rzplitéj Rzymskiej 4.
Sarn.;http://wbl.klf.uw.edu.pl/23/24/SH-FP_Linde_FR11.djvu?djvuopts=&page=182&zoom=width&showposition=0.5,0.65&djvuopts=&highlight=981,1006,2368,355;http://www.dbc.wroc.pl/dlibra/doccontent?id=5638; ※ Sarnickiego statut. fol.
Smotr.;http://wbl.klf.uw.edu.pl/23/24/SH-FP_Linde_FR11.djvu?djvuopts=&page=194&zoom=100&showposition=0.51,0.5;; ※ expostulacya
Sniad.;http://wbl.klf.uw.edu.pl/23/24/SH-FP_Linde_FR11.djvu?djvuopts=&page=210&zoom=100&showposition=0.51,0.37;http://www.sbc.org.pl/dlibra/doccontent?id=41747; ※ Jana Śniadeckiego algebra. 4.
Szczerb.;http://wbl.klf.uw.edu.pl/23/24/SH-FP_Linde_FR11.djvu?djvuopts=&page=207&zoom=width&showposition=0.5,0.2&djvuopts=&highlight=83,4352,2390,341;http://dlibra.umcs.lublin.pl/dlibra/docmetadata?id=17535; ※ Szczerbica Saxon czyli prawo Sasko - Magdeburskie. fol.
Warg.;http://wbl.klf.uw.edu.pl/23/24/SH-FP_Linde_FR11.djvu?djvuopts=&page=226;; ※ Walery Maximus. w Krak. 1609. 4.
Warsz.;http://wbl.klf.uw.edu.pl/23/24/SH-FP_Linde_FR11.djvu?djvuopts=&page=228;http://pbc.gda.pl/dlibra/doccontent?id=41338&; ※ Warszewickiego do króla Stefana oracya.
Węg.;http://wbl.klf.uw.edu.pl/23/24/SH-FP_Linde_FR11.djvu?djvuopts=&page=230;http://rcin.org.pl/dlibra/doccontent?id=50290&; ※ Węgierskiego organy. 4. wiersz. 1784. 
Xiądz.;http://wbl.klf.uw.edu.pl/23/24/SH-FP_Linde_FR11.djvu?djvuopts=&page=238&zoom=width&showposition=0.5,0.55&highlight=556, 2020, 2800, 500;; ※ Xiądz Pleban, w Warsz. 1787.8. (Kossakowskiego Bisk. Smoleń.) .
Zap. Wez.;http://wbl.klf.uw.edu.pl/23/24/SH-FP_Linde_FR11.djvu?djvuopts=&page=246&zoom=150&showposition=0.5,0.34&djvuopts=&highlight=1031,3135,2363,524;http://polona.pl/item/319246/3/; ※ Zapał Wezuwiusza. 1631. 4.
Ząbk.;http://wbl.klf.uw.edu.pl/23/24/SH-FP_Linde_FR11.djvu?djvuopts=&page=247&zoom=150&showposition=0.5,0.49;http://mbc.malopolska.pl/dlibra/doccontent?id=83339; ※ Ząbkowica młot na czarownice. Kraków. 1614. 4
