-al;http://korpusy.klf.uw.edu.pl/djvus/linde-t/01/index.djvu?djvuopts&page=140&highlight=2488,1188,234,78;※ [-AL];
-ciech;http://korpusy.klf.uw.edu.pl/djvus/linde-t/01/index.djvu?djvuopts&page=423&highlight=2368,5367,324,91;※ [-CIECH];
-cki;http://korpusy.klf.uw.edu.pl/djvus/linde-t/01/index.djvu?djvuopts&page=446&highlight=416,5483,257,73;※ [-CKI];
-ąd;http://korpusy.klf.uw.edu.pl/djvus/linde-t/01/index.djvu?djvuopts&page=134&highlight=2701,4748,194,75;※ [-ĄD];
-ć;http://korpusy.klf.uw.edu.pl/djvus/linde-t/01/index.djvu?djvuopts&page=344&highlight=2393,2340,263,129;※ [1. -ć];※ 1. ~
-ć;http://korpusy.klf.uw.edu.pl/djvus/linde-t/01/index.djvu?djvuopts&page=345&highlight=208,3884,428,123;[2. -ć, CI,];※ 2. ~, CI,
-ędy;http://korpusy.klf.uw.edu.pl/djvus/linde-t/01/index.djvu?djvuopts&page=134&highlight=2903,4748,236,78;※ [-ĘDY];
-ęta;http://korpusy.klf.uw.edu.pl/djvus/linde-t/01/index.djvu?djvuopts&page=762&highlight=404,4925,245,25;※ [-ĘTA];
Byczyna;http://korpusy.klf.uw.edu.pl/djvus/linde-t/01/index.djvu?djvuopts&page=338&highlight=2584,3822,779,84;※ [BYCZYNA, miasteczko];※ miasteczko
Błażkowa;http://korpusy.klf.uw.edu.pl/djvus/linde-t/01/index.djvu?djvuopts&page=249&highlight=575,4754,1316,86;※ [BŁAŻKOWA, BŁAŻKÓWNA ob. Błażek.];※ ob. Błażek.
Błażkówna;http://korpusy.klf.uw.edu.pl/djvus/linde-t/01/index.djvu?djvuopts&page=249&highlight=575,4754,1316,86;※ [BŁAŻKOWA, BŁAŻKÓWNA ob. Błażek.];※ ob. Błażek.
Czarnawczyce;http://korpusy.klf.uw.edu.pl/djvus/linde-t/01/index.djvu?djvuopts&page=478&highlight=379,5048,1487,73;※ [CZARNAWCZYCE , ów, liczb. mn., miasto];※ , ów, liczb. mn., miasto
Don;http://korpusy.klf.uw.edu.pl/djvus/linde-t/01/index.djvu?djvuopts&page=616&highlight=373,986,1726,80;※ [DON, u, m. jedna z najpryncypalniejszych rzék k];※ u, m. 
Dubrowica;http://korpusy.klf.uw.edu.pl/djvus/linde-t/01/index.djvu?djvuopts&page=682&highlight=496,3884,1829,80;※ [DUBROWICA, DUBROWNA ob. Dąbrowica, Dąbrowne.];※ ob. Dąbrowica, Dąbrowne.
Dubrowna;http://korpusy.klf.uw.edu.pl/djvus/linde-t/01/index.djvu?djvuopts&page=682&highlight=496,3884,1829,80;※ [DUBROWICA, DUBROWNA ob. Dąbrowica, Dąbrowne.];※ ob. Dąbrowica, Dąbrowne.
Egra;http://korpusy.klf.uw.edu.pl/djvus/linde-t/01/index.djvu?djvuopts&page=757&highlight=1212,3878,575,61;※ [2. EGRA, rzéka];※ 2. ~, rzéka
